StateRegionPCode,StateRegion,StateRegionMM,DistrictPCode,District,DistrictMM,TownshipPCode,Township,TownshipMM,TotalVillageTractTowns,TotalVillageWards
MMR001,Kachin,ကချင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001001,Myitkyina,မြစ်ကြီးနား,32,107
MMR001,Kachin,ကချင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001002,Waingmaw,ဝိုင်းမော်,43,276
MMR001,Kachin,ကချင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001003,Injangyang,အင်ဂျန်းယန်,64,371
MMR001,Kachin,ကချင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001004,Tanai,တနိုင်း,19,83
MMR001,Kachin,ကချင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001005,Chipwi,ချီ​ဖွေ,44,160
MMR001,Kachin,ကချင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001006,Tsawlaw,ဆော့လော်,26,145
MMR001,Kachin,ကချင်,MMR001D002,Mohnyin,မိုးညှင်း,MMR001007,Mohnyin,မိုးညှင်း,43,182
MMR001,Kachin,ကချင်,MMR001D002,Mohnyin,မိုးညှင်း,MMR001008,Mogaung,မိုးကောင်း,43,118
MMR001,Kachin,ကချင်,MMR001D002,Mohnyin,မိုးညှင်း,MMR001009,Hpakant,ဖားကန့်,17,122
MMR001,Kachin,ကချင်,MMR001D003,Bhamo,ဗန်းမော်,MMR001010,Bhamo,ဗန်းမော်,46,108
MMR001,Kachin,ကချင်,MMR001D003,Bhamo,ဗန်းမော်,MMR001011,Shwegu,ရွှေကူ,39,118
MMR001,Kachin,ကချင်,MMR001D003,Bhamo,ဗန်းမော်,MMR001012,Momauk,မိုးမောက်,56,320
MMR001,Kachin,ကချင်,MMR001D003,Bhamo,ဗန်းမော်,MMR001013,Mansi,မံစီ,41,329
MMR001,Kachin,ကချင်,MMR001D004,Puta-O,ပူတာအို,MMR001014,Puta-O,ပူတာအို,15,139
MMR001,Kachin,ကချင်,MMR001D004,Puta-O,ပူတာအို,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,42,361
MMR001,Kachin,ကချင်,MMR001D004,Puta-O,ပူတာအို,MMR001016,Machanbaw,မချမ်းဘော,27,116
MMR001,Kachin,ကချင်,MMR001D004,Puta-O,ပူတာအို,MMR001017,Nawngmun,နောင်မွန်း,15,66
MMR001,Kachin,ကချင်,MMR001D004,Puta-O,ပူတာအို,MMR001018,Khaunglanhpu,ခေါင်လန်ဖူး,25,221
MMR002,Kayah,ကယား,MMR002D001,Loikaw,လွိုင်ကော်,MMR002001,Loikaw,လွိုင်ကော်,16,212
MMR002,Kayah,ကယား,MMR002D001,Loikaw,လွိုင်ကော်,MMR002002,Demoso,ဒီးမော့ဆို,28,195
MMR002,Kayah,ကယား,MMR002D001,Loikaw,လွိုင်ကော်,MMR002003,Hpruso,ဖရူဆို,15,122
MMR002,Kayah,ကယား,MMR002D001,Loikaw,လွိုင်ကော်,MMR002004,Shadaw,ရှားတော,5,111
MMR002,Kayah,ကယား,MMR002D002,Bawlake,ဘောလခဲ,MMR002005,Bawlake,ဘောလခဲ,11,34
MMR002,Kayah,ကယား,MMR002D002,Bawlake,ဘောလခဲ,MMR002006,Hpasawng,ဖားဆောင်း,9,66
MMR002,Kayah,ကယား,MMR002D002,Bawlake,ဘောလခဲ,MMR002007,Mese,မယ်စဲ,7,28
MMR003,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003001,Hpa-An,ဘားအံ,93,490
MMR003,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003002,Hlaingbwe,လှိုင်းဘွဲ့,75,416
MMR003,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,MMR003004,Thandaunggyi,သံတောင်ကြီး,63,361
MMR003,Kayin,ကရင်,MMR003D002,Myawaddy,မြဝတီ,MMR003005,Myawaddy,မြဝတီ,20,86
MMR003,Kayin,ကရင်,MMR003D003,Kawkareik,ကော့ကရိတ်,MMR003006,Kawkareik,ကော့ကရိတ်,55,272
MMR003,Kayin,ကရင်,MMR003D003,Kawkareik,ကော့ကရိတ်,MMR003007,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,54,309
MMR003,Kayin,ကရင်,MMR003D004,Hpapun,ဖာပွန်,MMR003003,Hpapun,ဖာပွန်,35,315
MMR004,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,MMR004001,Falam,ဖလမ်း,89,208
MMR004,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,MMR004004,Tedim,တီးတိန်,57,143
MMR004,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,MMR004005,Tonzang,တွန်းဇန်,33,107
MMR004,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,MMR004006,Mindat,မင်းတပ်,48,218
MMR004,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,MMR004008,Kanpetlet,ကန်ပက်လက်,28,119
MMR004,Chin,ချင်း,MMR004D003,Hakha,ဟားခါး,MMR004002,Hakha,ဟားခါး,32,80
MMR004,Chin,ချင်း,MMR004D003,Hakha,ဟားခါး,MMR004003,Thantlang,ထန်တလန်,39,98
MMR004,Chin,ချင်း,MMR004D004,Matupi,မတူပီ,MMR004007,Matupi,မတူပီ,66,155
MMR004,Chin,ချင်း,MMR004D004,Matupi,မတူပီ,MMR004009,Paletwa,ပလက်ဝ,99,462
MMR005,Sagaing,စစ်ကိုင်း,MMR005D001,Sagaing,စစ်ကိုင်း,MMR005001,Sagaing,စစ်ကိုင်း,83,256
MMR005,Sagaing,စစ်ကိုင်း,MMR005D001,Sagaing,စစ်ကိုင်း,MMR005002,Myinmu,မြင်းမူ,49,91
MMR005,Sagaing,စစ်ကိုင်း,MMR005D001,Sagaing,စစ်ကိုင်း,MMR005003,Myaung,မြောင်,50,88
MMR005,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005004,Shwebo,ရွှေဘို,75,198
MMR005,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005005,Khin-U,ခင်ဦး,60,155
MMR005,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005006,Wetlet,ဝက်လက်,70,249
MMR005,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,MMR005009,Ye-U,ရေဦး,63,217
