StateRegionPCode,StateRegion,StateRegionMM,TotalDistricts,TotalTownships,TotalVillageTractTowns,TotalVillageWards
MMR001,Kachin,ကချင်,4,18,637,3342
MMR002,Kayah,ကယား,2,7,91,768
MMR003,Kayin,ကရင်,4,7,395,2249
MMR004,Chin,ချင်း,4,9,491,1590
MMR005,Sagaing,စစ်ကိုင်း,12,37,1832,6826
MMR006,Tanintharyi,တနင်္သာရီ,3,10,288,1417
MMR007,Bago (East),ပဲခူး (အရှေ့),2,14,774,3248
MMR008,Bago (West),ပဲခူး (အနောက်),2,14,716,3796
MMR009,Magway,မကွေး,5,25,1577,5106
MMR010,Mandalay,မန္တလေး,7,28,1455,5256
MMR011,Mon,မွန်,2,10,403,1412
MMR012,Rakhine,ရခိုင်,5,17,1080,4402
MMR013,Yangon,ရန်ကုန်,4,47,679,3039
MMR014,Shan (South),ရှမ်း (တောင်),5,21,461,6210
MMR015,Shan (North),ရှမ်း (မြောက်),11,45,1186,8716
MMR016,Shan (East),ရှမ်း (အရှေ့),4,15,238,4064
MMR017,Ayeyarwady,ဧရာဝတီ,6,26,1975,12934
MMR018,Nay Pyi Taw,နေပြည်တော်,2,8,202,973
