StateRegionPCode,StateRegion,StateRegionMM,DistrictPCode,District,DistrictMM,TotalTownships,TotalVillageTractTowns,TotalVillageWards
MMR001,Kachin,ကချင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,6,228,1142
MMR001,Kachin,ကချင်,MMR001D002,Mohnyin,မိုးညှင်း,3,103,422
MMR001,Kachin,ကချင်,MMR001D003,Bhamo,ဗန်းမော်,4,182,875
MMR001,Kachin,ကချင်,MMR001D004,Puta-O,ပူတာအို,5,124,903
MMR002,Kayah,ကယား,MMR002D001,Loikaw,လွိုင်ကော်,4,64,640
MMR002,Kayah,ကယား,MMR002D002,Bawlake,ဘောလခဲ,3,27,128
MMR003,Kayin,ကရင်,MMR003D001,Hpa-An,ဘားအံ,3,231,1267
MMR003,Kayin,ကရင်,MMR003D002,Myawaddy,မြဝတီ,1,20,86
MMR003,Kayin,ကရင်,MMR003D003,Kawkareik,ကော့ကရိတ်,2,109,581
MMR003,Kayin,ကရင်,MMR003D004,Hpapun,ဖာပွန်,1,35,315
MMR004,Chin,ချင်း,MMR004D001,Falam,ဖလမ်း,3,179,458
MMR004,Chin,ချင်း,MMR004D002,Mindat,မင်းတပ်,2,76,337
MMR004,Chin,ချင်း,MMR004D003,Hakha,ဟားခါး,2,71,178
MMR004,Chin,ချင်း,MMR004D004,Matupi,မတူပီ,2,165,617
MMR005,Sagaing,စစ်ကိုင်း,MMR005D001,Sagaing,စစ်ကိုင်း,3,182,435
MMR005,Sagaing,စစ်ကိုင်း,MMR005D002,Shwebo,ရွှေဘို,6,384,1331
MMR005,Sagaing,စစ်ကိုင်း,MMR005D003,Monywa,မုံရွာ,4,180,684
MMR005,Sagaing,စစ်ကိုင်း,MMR005D004,Katha,ကသာ,4,153,710
MMR005,Sagaing,စစ်ကိုင်း,MMR005D005,Kale,ကလေး,3,142,538
MMR005,Sagaing,စစ်ကိုင်း,MMR005D006,Tamu,တမူး,1,25,80
MMR005,Sagaing,စစ်ကိုင်း,MMR005D007,Mawlaik,မော်လိုက်,2,70,272
MMR005,Sagaing,စစ်ကိုင်း,MMR005D008,Hkamti,ခန္တီး,2,109,486
MMR005,Sagaing,စစ်ကိုင်း,MMR005D009,Yinmarbin,ယင်းမာပင်,4,189,740
MMR005,Sagaing,စစ်ကိုင်း,MMR005D010,Kanbalu,ကန့်ဘလူ,2,124,449
MMR005,Sagaing,စစ်ကိုင်း,MMR005D011,Kawlin,ကောလင်း,3,140,711
MMR005,Sagaing,စစ်ကိုင်း,MMR005S001,Naga Self-Administered Zone,နာဂ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,3,134,390
MMR006,Tanintharyi,တနင်္သာရီ,MMR006D001,Dawei,ထားဝယ်,4,145,480
MMR006,Tanintharyi,တနင်္သာရီ,MMR006D002,Myeik,မြိတ်,4,100,727
